#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:01Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:11Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:21Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:31Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:41Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:20:51Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:01Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:11Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:21Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:31Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:41Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:21:51Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:01Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:11Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:21Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:31Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod
,,4,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:22:41Z,0,usage_guest_nice,cpu,cpu3,tahoecity.prod

#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,5,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:17:57Z,0,usage_iowait,cpu,cpu-total,rsavage.prod
,,5,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:07Z,0,usage_iowait,cpu,cpu-total,rsavage.prod
,,5,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:16Z,0,usage_iowait,cpu,cpu-total,rsavage.prod
,,5,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:27Z,0,usage_iowait,cpu,cpu-total,rsavage.prod
,,5,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:37Z,0,usage_iowait,cpu,cpu-total,rsavage.prod
,,5,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:46Z,0,usage_iowait,cpu,cpu-total,rsavage.prod
,,5,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:18:56Z,0,usage_iowait,cpu,cpu-total,rsavage.prod
,,5,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:06Z,0,usage_iowait,cpu,cpu-total,rsavage.prod
,,5,2020-02-25T22:17:54.068926364Z,2020-02-25T22:22:54.068926364Z,2020-02-25T22:19:16Z,0,usage_iowait,cpu,cpu-total,rsavage.prod
